"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 16:06:12 GMT 2021","Mon Jul 26 16:06:51 GMT 2021","38954","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Mon Jul 26 16:05:59 GMT 2021","Mon Jul 26 16:06:12 GMT 2021","13173","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"passed","Mon Jul 26 16:03:38 GMT 2021","Mon Jul 26 16:04:46 GMT 2021","68137","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Mon Jul 26 16:04:56 GMT 2021","Mon Jul 26 16:05:08 GMT 2021","12073","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Mon Jul 26 16:05:19 GMT 2021","Mon Jul 26 16:05:32 GMT 2021","12968","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"broken","Mon Jul 26 16:05:52 GMT 2021","Mon Jul 26 16:05:59 GMT 2021","7001","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Mon Jul 26 16:05:08 GMT 2021","Mon Jul 26 16:05:15 GMT 2021","6922","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Mon Jul 26 16:05:40 GMT 2021","Mon Jul 26 16:05:52 GMT 2021","11320","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"passed","Mon Jul 26 16:05:15 GMT 2021","Mon Jul 26 16:05:19 GMT 2021","4666","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Mon Jul 26 16:05:32 GMT 2021","Mon Jul 26 16:05:40 GMT 2021","8027","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Mon Jul 26 16:04:46 GMT 2021","Mon Jul 26 16:04:56 GMT 2021","10115","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
